paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,2009;1,2012;6,2406;6,2429;2023-03-01 13:07:21.391;Intermediário
1,2009;1,2012;6,2524;6,2546;2023-03-01 13:07:21.4;Fechamento
1,1946;1,1947;6,2138;6,2151;2023-03-02 10:06:16.918;Abertura
1,1929;1,193;6,2199;6,2211;2023-03-02 11:04:17.314;Intermediário
1,1938;1,1942;6,2215;6,2243;2023-03-02 12:05:16.884;Intermediário
1,1952;1,1957;6,2178;6,2211;2023-03-02 13:09:37.92;Intermediário
1,1952;1,1957;6,2239;6,2272;2023-03-02 13:09:37.928;Fechamento
1,1985000000000001;1,199;6,233;6,2364;2023-03-03 10:04:16.639;Abertura
1,2006000000000001;1,201;6,2324;6,2352;2023-03-03 11:08:17.173;Intermediário
1,1985000000000001;1,1989;6,2425;6,2453;2023-03-03 12:02:44.969;Intermediário
1,1975;1,1979;6,2415;6,2443;2023-03-03 13:04:25.955;Intermediário
1,1975;1,1979;6,2307;6,2335;2023-03-03 13:04:25.958;Fechamento
1,2003;1,2007;6,2452;6,248;2023-03-06 10:09:19.311;Abertura
1,2007;1,2011;6,2564;6,2592;2023-03-06 11:11:17.091;Intermediário
1,2015;1,202;6,2479;6,2512;2023-03-06 12:06:17.667;Intermediário
1,2025000000000001;1,2029;6,2191;6,2219;2023-03-06 13:06:23.935;Intermediário
1,2025000000000001;1,2029;6,2487;6,2515;2023-03-06 13:06:23.946;Fechamento
1,1995;1,2;6,2122;6,2155;2023-03-07 10:09:18.118;Abertura
1,1979;1,1983;6,207;6,2098;2023-03-07 11:07:17.068;Intermediário
1,1979;1,198;6,2274;6,2286;2023-03-07 12:08:16.928;Intermediário
1,1875;1,1877;6,1733;6,1751;2023-03-07 13:04:16.36;Intermediário
1,1875;1,1877;6,1625;6,1643;2023-03-07 13:04:16.368;Fechamento
1,1835;1,1839;6,1125;6,1153;2023-03-08 10:11:17.963;Abertura
1,1822;1,1825;6,0876;6,0899;2023-03-08 11:04:16.974;Intermediário
1,1836;1,1841;6,06;6,0633;2023-03-08 12:10:18.944;Intermediário
1,1837;1,1838;6,0582;6,0594;2023-03-08 13:08:39.385;Intermediário
1,1837;1,1838;6,082;6,0832;2023-03-08 13:08:39.391;Fechamento
1,1883;1,1885;6,1042;6,1059;2023-03-09 10:03:18.761;Abertura
1,1907;1,1909;6,0935;6,0953;2023-03-09 11:06:16.697;Intermediário
1,1916;1,192;6,1215;6,1243;2023-03-09 12:05:17.143;Intermediário
1,1909;1,1912;6,1296;6,1318;2023-03-09 13:07:27.949;Intermediário
1,1909;1,1912;6,1149000000000004;6,1172;2023-03-09 13:07:27.955;Fechamento
1,1992;1,1996;6,2315;6,2343;2023-03-10 10:07:17.261;Abertura
1,2015;1,2019;6,2378;6,2406;2023-03-10 11:08:16.791;Intermediário
1,2082;1,2086000000000001;6,2536;6,2564;2023-03-10 12:03:16.162;Intermediário
