paridadeCompra;paridadeVenda;cotacaoCompra;cotacaoVenda;dataHoraCotacao;tipoBoletim
1,068;1,0684;5,5417000000000005;5,5445;2023-02-07 12:10:17.065;Intermediário
1,0691;1,0692;5,54;5,5411;2023-02-07 13:10:17.638;Intermediário
1,0691;1,0692;5,5261;5,5272;2023-02-07 13:10:17.648;Fechamento
1,0732;1,0735999999999999;5,5696;5,5723;2023-02-08 10:08:17.152;Abertura
1,0731;1,0733;5,5739;5,5756;2023-02-08 11:11:16.667;Intermediário
1,0723;1,0727;5,5769;5,5796;2023-02-08 12:07:16.983;Intermediário
1,0722;1,0726;5,6047;5,6074;2023-02-08 13:08:42.607;Intermediário
1,0722;1,0726;5,5786999999999995;5,5814;2023-02-08 13:08:42.613;Fechamento
1,0769;1,077;5,6122;5,6133;2023-02-09 10:04:16.94;Abertura
1,0788;1,079;5,5949;5,5966000000000005;2023-02-09 11:08:16.618;Intermediário
1,0779;1,0783;5,6704;5,6732;2023-02-09 12:09:16.714;Intermediário
1,0761;1,0765;5,6659;5,6686;2023-02-09 13:06:23.343;Intermediário
1,0761;1,0765;5,629;5,6317;2023-02-09 13:06:23.349;Fechamento
1,0681;1,0685;5,6237;5,6264;2023-02-10 10:04:17.853;Abertura
1,0694;1,0695000000000001;5,6083;5,6094;2023-02-10 11:05:16.814;Intermediário
1,0697;1,0698;5,6241;5,6251999999999995;2023-02-10 12:15:10.379;Intermediário
1,0676;1,0677;5,5954;5,5966000000000005;2023-02-10 13:11:17.987;Intermediário
1,0676;1,0677;5,607;5,6082;2023-02-10 13:11:17.992;Fechamento
1,0689;1,0693;5,5536;5,5563;2023-02-13 10:12:46.313;Abertura
1,0679;1,0683;5,5604;5,5632;2023-02-13 11:02:16.826;Intermediário
1,0704;1,0708;5,5226;5,5253;2023-02-13 12:10:19.446;Intermediário
1,0719;1,0721;5,5411;5,5428;2023-02-13 13:07:17.905;Intermediário
1,0719;1,0721;5,5554;5,5571;2023-02-13 13:07:17.912;Fechamento
1,0757;1,0761;5,5472;5,5499;2023-02-14 10:07:46.387;Abertura
1,0759;1,0761;5,5314;5,5331;2023-02-14 11:06:16.681;Intermediário
1,0751;1,0755;5,5358;5,5385;2023-02-14 12:03:16.701;Intermediário
1,0714;1,0718;5,5211;5,5238;2023-02-14 13:04:31.509;Intermediário
1,0714;1,0718;5,5178;5,5205;2023-02-14 13:04:31.517;Fechamento
1,0697;1,0698;5,5863;5,5875;2023-02-15 10:11:16.644;Abertura
1,0681;1,0685;5,5755;5,5782;2023-02-15 11:03:16.119;Intermediário
1,0668;1,0672;5,574;5,5768;2023-02-15 12:04:16.913;Intermediário
1,0674;1,0678;5,5798;5,5826;2023-02-15 13:10:05.927;Intermediário
1,0674;1,0678;5,5758;5,5785;2023-02-15 13:10:05.932;Fechamento
1,0694;1,0696;5,6023;5,604;2023-02-16 10:05:18.252;Abertura
1,0679;1,0681;5,6006;5,6023;2023-02-16 11:09:16.717;Intermediário
1,0662;1,0663;5,5964;5,5975;2023-02-16 12:07:17.604;Intermediário
1,0671;1,0675;5,5897;5,5924;2023-02-16 13:07:19.153;Intermediário
1,0671;1,0675;5,5944;5,5971;2023-02-16 13:07:19.16;Fechamento
1,0619;1,0623;5,5403;5,543;2023-02-17 10:07:16.443;Abertura
1,0639;1,0643;5,54;5,5428;2023-02-17 11:05:17.65;Intermediário
1,064;1,0644;5,5205;5,5232;2023-02-17 12:11:16.639;Intermediário
1,066;1,0664;5,5318000000000005;5,5344999999999995;2023-02-17 13:11:21.862;Intermediário
1,066;1,0664;5,5438;5,5466;2023-02-17 13:11:21.869;Fechamento
1,0626;1,0628;5,5075;5,5091;2023-02-22 14:32:19.049;Abertura
1,0624;1,0628;5,4839;5,4866;2023-02-22 15:39:24.519;Intermediário
1,0624;1,0628;5,4952;5,4979;2023-02-22 15:39:24.527;Fechamento
1,0613;1,0616;5,4665;5,4687;2023-02-23 10:05:17.418;Abertura
1,0606;1,061;5,4397;5,4424;2023-02-23 11:03:16.849;Intermediário
1,0606;1,061;5,4347;5,4374;2023-02-23 12:07:17.567;Intermediário
1,0595;1,0599;5,4306;5,4333;2023-02-23 13:05:18.35;Intermediário
1,0595;1,0599;5,4378;5,4405;2023-02-23 13:05:18.359;Fechamento
1,0565;1,0569;5,4576;5,4603;2023-02-24 10:09:17.2;Abertura
1,0551;1,0555;5,4591;5,4618;2023-02-24 11:03:04.414;Intermediário
1,0546;1,0548;5,468;5,4697;2023-02-24 12:08:18.741;Intermediário
1,054;1,0544;5,4696;5,4723;2023-02-24 13:10:55.21;Intermediário
1,054;1,0544;5,4581;5,4608;2023-02-24 13:10:55.215;Fechamento
1,0557;1,0561;5,4885;5,4912;2023-02-27 10:07:53.446;Abertura
1,0581;1,0585;5,4948;5,4975;2023-02-27 11:02:37.475;Intermediário
1,0588;1,0589;5,4992;5,5004;2023-02-27 12:10:17.225;Intermediário
1,0599;1,0603;5,5069;5,5096;2023-02-27 13:11:43.006;Intermediário
1,0599;1,0603;5,5066;5,5093;2023-02-27 13:11:43.013;Fechamento
1,0614;1,0618;5,5224;5,5251;2023-02-28 10:04:18.278;Abertura
1,0631;1,0632;5,5199;5,5211;2023-02-28 11:04:19.052;Intermediário
1,0638;1,064;5,5488;5,5504999999999995;2023-02-28 12:11:16.604;Intermediário
1,0604;1,0608;5,5328;5,5356000000000005;2023-02-28 13:11:19.189;Intermediário
1,0604;1,0608;5,5217;5,5244;2023-02-28 13:11:19.197;Fechamento
1,0686;1,0688;5,5591;5,5608;2023-03-01 10:11:17.26;Abertura
1,067;1,0671;5,5545;5,5556;2023-03-01 11:04:45.169;Intermediário
1,0666;1,0668;5,5686;5,5703;2023-03-01 12:10:17.068;Intermediário
1,067;1,0674;5,5448;5,5475;2023-03-01 13:07:21.391;Intermediário
1,067;1,0674;5,5552;5,558;2023-03-01 13:07:21.4;Fechamento
1,0606;1,0607;5,5168;5,518;2023-03-02 10:06:16.918;Abertura
1,0584;1,0588;5,5186;5,5213;2023-03-02 11:04:17.314;Intermediário
1,0599;1,06;5,5237;5,5248;2023-03-02 12:05:16.884;Intermediário
1,0607;1,0611;5,5181000000000004;5,5208;2023-03-02 13:09:37.92;Intermediário
1,0607;1,0611;5,5235;5,5262;2023-03-02 13:09:37.928;Fechamento
